[2024-03-27 17:51:44] build function
Training model: r6_btnk
Total parameters: 176,796
Learning rate=0.001
Epoch [1/25], phase: train, samples: 4000, Loss: 0.3519, Top-1 Accuracies: ['10.30%', '11.18%', '11.00%', '11.88%']
Epoch [11/25], phase: train, samples: 4000, Loss: 0.0626, Top-1 Accuracies: ['97.47%', '60.20%', '67.92%', '99.78%']
Epoch [11/25], phase: val, samples: 500, Loss: 0.0887, Top-1 Accuracies: ['93.00%', '55.20%', '52.40%', '96.60%']
Epoch [12/25], phase: train, samples: 4000, Loss: 0.0568, Top-1 Accuracies: ['98.00%', '63.80%', '70.20%', '99.80%']
Epoch [12/25], phase: val, samples: 500, Loss: 0.0873, Top-1 Accuracies: ['94.00%', '57.60%', '52.60%', '96.20%']
Epoch [13/25], phase: train, samples: 4000, Loss: 0.0515, Top-1 Accuracies: ['98.35%', '66.92%', '73.45%', '99.83%']
Epoch [13/25], phase: val, samples: 500, Loss: 0.0795, Top-1 Accuracies: ['95.60%', '60.20%', '57.40%', '98.00%']
Epoch [14/25], phase: train, samples: 4000, Loss: 0.0462, Top-1 Accuracies: ['98.60%', '72.35%', '77.25%', '99.78%']
Epoch [14/25], phase: val, samples: 500, Loss: 0.0759, Top-1 Accuracies: ['96.40%', '61.80%', '60.60%', '98.60%']
Epoch [15/25], phase: train, samples: 4000, Loss: 0.0409, Top-1 Accuracies: ['98.83%', '77.40%', '81.53%', '99.85%']
Epoch [15/25], phase: val, samples: 500, Loss: 0.0767, Top-1 Accuracies: ['95.60%', '60.60%', '63.60%', '98.60%']
Epoch [16/25], phase: train, samples: 4000, Loss: 0.0361, Top-1 Accuracies: ['99.00%', '81.55%', '84.20%', '99.85%']
Epoch [16/25], phase: val, samples: 500, Loss: 0.0744, Top-1 Accuracies: ['96.20%', '63.40%', '67.00%', '99.00%']
Epoch [17/25], phase: train, samples: 4000, Loss: 0.0309, Top-1 Accuracies: ['99.05%', '86.55%', '87.52%', '99.88%']
Epoch [17/25], phase: val, samples: 500, Loss: 0.0674, Top-1 Accuracies: ['95.40%', '68.80%', '68.00%', '98.20%']
Epoch [18/25], phase: train, samples: 4000, Loss: 0.0266, Top-1 Accuracies: ['99.05%', '89.48%', '90.40%', '99.90%']
Epoch [18/25], phase: val, samples: 500, Loss: 0.0617, Top-1 Accuracies: ['95.20%', '71.00%', '72.00%', '96.40%']
Epoch [19/25], phase: train, samples: 4000, Loss: 0.0227, Top-1 Accuracies: ['99.38%', '92.17%', '92.12%', '99.90%']
Epoch [19/25], phase: val, samples: 500, Loss: 0.0674, Top-1 Accuracies: ['94.40%', '70.80%', '70.00%', '95.20%']
Epoch [20/25], phase: train, samples: 4000, Loss: 0.0196, Top-1 Accuracies: ['99.15%', '93.90%', '94.85%', '99.92%']
Epoch [20/25], phase: val, samples: 500, Loss: 0.0584, Top-1 Accuracies: ['94.80%', '73.00%', '72.20%', '98.00%']
Epoch [21/25], phase: train, samples: 4000, Loss: 0.0168, Top-1 Accuracies: ['99.35%', '95.50%', '95.78%', '99.92%']
Epoch [21/25], phase: val, samples: 500, Loss: 0.0561, Top-1 Accuracies: ['94.80%', '76.40%', '74.00%', '98.80%']
Epoch [22/25], phase: train, samples: 4000, Loss: 0.0143, Top-1 Accuracies: ['99.50%', '96.45%', '96.88%', '99.85%']
Epoch [22/25], phase: val, samples: 500, Loss: 0.0540, Top-1 Accuracies: ['96.60%', '76.00%', '73.60%', '99.20%']
Epoch [23/25], phase: train, samples: 4000, Loss: 0.0117, Top-1 Accuracies: ['99.78%', '97.75%', '98.02%', '99.88%']
Epoch [23/25], phase: val, samples: 500, Loss: 0.0544, Top-1 Accuracies: ['94.60%', '76.00%', '74.00%', '98.60%']
Epoch [24/25], phase: train, samples: 4000, Loss: 0.0096, Top-1 Accuracies: ['99.80%', '98.40%', '98.67%', '99.92%']
Epoch [24/25], phase: val, samples: 500, Loss: 0.0485, Top-1 Accuracies: ['95.80%', '77.60%', '77.40%', '99.20%']
Epoch [25/25], phase: train, samples: 4000, Loss: 0.0076, Top-1 Accuracies: ['99.90%', '99.28%', '99.22%', '99.98%']
Epoch [25/25], phase: val, samples: 500, Loss: 0.0472, Top-1 Accuracies: ['98.60%', '77.00%', '79.20%', '98.60%']
Elapsed time: 29.217769861221313 seconds
Training model: r6_btnk
Total parameters: 7,284
Learning rate=0.001
Epoch [1/25], phase: train, samples: 4000, Loss: 0.3679, Top-1 Accuracies: ['7.05%', '6.60%', '7.15%', '7.70%']
Epoch [1/25], phase: val, samples: 500, Loss: 0.3727, Top-1 Accuracies: ['8.80%', '7.20%', '8.20%', '10.40%']
Epoch [2/25], phase: train, samples: 4000, Loss: 0.3597, Top-1 Accuracies: ['9.78%', '9.93%', '10.65%', '11.38%']
Epoch [2/25], phase: val, samples: 500, Loss: 0.3647, Top-1 Accuracies: ['10.00%', '10.60%', '10.60%', '15.80%']
Epoch [3/25], phase: train, samples: 4000, Loss: 0.3516, Top-1 Accuracies: ['11.18%', '13.05%', '12.88%', '16.53%']
Epoch [3/25], phase: val, samples: 500, Loss: 0.3573, Top-1 Accuracies: ['11.20%', '11.20%', '9.80%', '16.00%']
Epoch [4/25], phase: train, samples: 4000, Loss: 0.3426, Top-1 Accuracies: ['12.70%', '14.57%', '15.47%', '19.23%']
Epoch [4/25], phase: val, samples: 500, Loss: 0.3517, Top-1 Accuracies: ['12.00%', '14.00%', '13.60%', '15.60%']
Epoch [5/25], phase: train, samples: 4000, Loss: 0.3334, Top-1 Accuracies: ['13.88%', '16.07%', '17.57%', '21.82%']
Epoch [5/25], phase: val, samples: 500, Loss: 0.3418, Top-1 Accuracies: ['14.00%', '16.40%', '13.60%', '17.80%']
Epoch [6/25], phase: train, samples: 4000, Loss: 0.3256, Top-1 Accuracies: ['15.25%', '18.15%', '18.65%', '23.50%']
Epoch [6/25], phase: val, samples: 500, Loss: 0.3366, Top-1 Accuracies: ['15.80%', '17.40%', '15.00%', '19.80%']
Epoch [7/25], phase: train, samples: 4000, Loss: 0.3189, Top-1 Accuracies: ['16.35%', '18.90%', '19.95%', '25.65%']
Epoch [7/25], phase: val, samples: 500, Loss: 0.3344, Top-1 Accuracies: ['16.60%', '18.00%', '14.60%', '19.60%']
Epoch [8/25], phase: train, samples: 4000, Loss: 0.3128, Top-1 Accuracies: ['17.45%', '19.57%', '20.55%', '27.32%']
Epoch [8/25], phase: val, samples: 500, Loss: 0.3321, Top-1 Accuracies: ['17.80%', '17.00%', '15.20%', '23.40%']
Epoch [9/25], phase: train, samples: 4000, Loss: 0.3074, Top-1 Accuracies: ['18.50%', '20.42%', '20.72%', '29.20%']
Epoch [9/25], phase: val, samples: 500, Loss: 0.3270, Top-1 Accuracies: ['17.40%', '18.40%', '15.60%', '23.20%']
Epoch [10/25], phase: train, samples: 4000, Loss: 0.3025, Top-1 Accuracies: ['19.35%', '20.95%', '21.75%', '31.45%']
Epoch [10/25], phase: val, samples: 500, Loss: 0.3229, Top-1 Accuracies: ['16.80%', '18.40%', '14.40%', '26.20%']
Epoch [11/25], phase: train, samples: 4000, Loss: 0.2979, Top-1 Accuracies: ['20.15%', '21.45%', '21.93%', '33.50%']
Epoch [11/25], phase: val, samples: 500, Loss: 0.3173, Top-1 Accuracies: ['18.00%', '20.40%', '13.80%', '27.40%']
Epoch [12/25], phase: train, samples: 4000, Loss: 0.2937, Top-1 Accuracies: ['20.62%', '22.02%', '22.27%', '35.70%']
Epoch [12/25], phase: val, samples: 500, Loss: 0.3148, Top-1 Accuracies: ['17.40%', '21.40%', '15.20%', '31.00%']
Epoch [13/25], phase: train, samples: 4000, Loss: 0.2896, Top-1 Accuracies: ['20.90%', '21.82%', '22.50%', '37.38%']
Epoch [13/25], phase: val, samples: 500, Loss: 0.3083, Top-1 Accuracies: ['18.00%', '23.00%', '16.20%', '34.00%']
Epoch [14/25], phase: train, samples: 4000, Loss: 0.2857, Top-1 Accuracies: ['21.52%', '21.70%', '22.68%', '39.20%']
Epoch [14/25], phase: val, samples: 500, Loss: 0.3022, Top-1 Accuracies: ['18.60%', '21.40%', '16.80%', '34.80%']
Epoch [15/25], phase: train, samples: 4000, Loss: 0.2818, Top-1 Accuracies: ['21.82%', '21.88%', '22.88%', '41.42%']
Epoch [15/25], phase: val, samples: 500, Loss: 0.2993, Top-1 Accuracies: ['18.20%', '20.80%', '16.60%', '34.20%']
Epoch [16/25], phase: train, samples: 4000, Loss: 0.2780, Top-1 Accuracies: ['22.48%', '22.15%', '22.93%', '43.77%']
Epoch [16/25], phase: val, samples: 500, Loss: 0.2926, Top-1 Accuracies: ['20.00%', '21.40%', '17.80%', '38.80%']
Epoch [17/25], phase: train, samples: 4000, Loss: 0.2744, Top-1 Accuracies: ['22.95%', '22.43%', '23.03%', '45.90%']
Epoch [17/25], phase: val, samples: 500, Loss: 0.2902, Top-1 Accuracies: ['19.20%', '22.60%', '17.20%', '41.60%']
Epoch [18/25], phase: train, samples: 4000, Loss: 0.2709, Top-1 Accuracies: ['23.60%', '23.05%', '23.60%', '48.08%']
Epoch [18/25], phase: val, samples: 500, Loss: 0.2873, Top-1 Accuracies: ['21.40%', '21.40%', '17.60%', '43.20%']
Epoch [19/25], phase: train, samples: 4000, Loss: 0.2675, Top-1 Accuracies: ['23.75%', '23.62%', '23.77%', '50.08%']
Epoch [19/25], phase: val, samples: 500, Loss: 0.2803, Top-1 Accuracies: ['20.40%', '23.20%', '18.60%', '47.20%']
Epoch [20/25], phase: train, samples: 4000, Loss: 0.2641, Top-1 Accuracies: ['24.00%', '23.60%', '23.35%', '51.92%']
Epoch [20/25], phase: val, samples: 500, Loss: 0.2782, Top-1 Accuracies: ['22.40%', '22.80%', '19.40%', '48.20%']
Epoch [21/25], phase: train, samples: 4000, Loss: 0.2609, Top-1 Accuracies: ['24.50%', '24.32%', '23.38%', '53.60%']
Epoch [21/25], phase: val, samples: 500, Loss: 0.2768, Top-1 Accuracies: ['20.80%', '21.80%', '18.80%', '49.00%']
Epoch [22/25], phase: train, samples: 4000, Loss: 0.2578, Top-1 Accuracies: ['25.27%', '24.35%', '23.67%', '54.85%']
Epoch [22/25], phase: val, samples: 500, Loss: 0.2726, Top-1 Accuracies: ['21.60%', '21.80%', '19.00%', '50.40%']
Epoch [23/25], phase: train, samples: 4000, Loss: 0.2548, Top-1 Accuracies: ['25.97%', '24.45%', '24.20%', '56.62%']
Epoch [23/25], phase: val, samples: 500, Loss: 0.2679, Top-1 Accuracies: ['23.40%', '22.00%', '20.00%', '53.60%']
Epoch [24/25], phase: train, samples: 4000, Loss: 0.2520, Top-1 Accuracies: ['26.62%', '24.52%', '24.40%', '58.38%']
Epoch [24/25], phase: val, samples: 500, Loss: 0.2666, Top-1 Accuracies: ['23.80%', '23.20%', '19.00%', '55.40%']
Epoch [25/25], phase: train, samples: 4000, Loss: 0.2493, Top-1 Accuracies: ['27.35%', '24.60%', '24.43%', '60.22%']
Epoch [25/25], phase: val, samples: 500, Loss: 0.2656, Top-1 Accuracies: ['23.00%', '22.40%', '18.40%', '57.80%']
Elapsed time: 29.52579379081726 seconds
Training model: SimpleCharCNN
Total parameters: 4,845,196
Learning rate=0.001
Epoch [1/25], phase: train, samples: 4000, Loss: 0.3619, Top-1 Accuracies: ['11.15%', '12.85%', '12.45%', '10.78%']
Epoch [1/25], phase: val, samples: 500, Loss: 0.3780, Top-1 Accuracies: ['9.40%', '5.80%', '7.80%', '4.80%']
Epoch [2/25], phase: train, samples: 4000, Loss: 0.3489, Top-1 Accuracies: ['22.53%', '23.30%', '24.70%', '22.55%']
Epoch [2/25], phase: val, samples: 500, Loss: 0.3599, Top-1 Accuracies: ['25.00%', '15.60%', '25.40%', '19.20%']
Epoch [3/25], phase: train, samples: 4000, Loss: 0.3336, Top-1 Accuracies: ['37.03%', '36.55%', '36.38%', '34.08%']
Epoch [3/25], phase: val, samples: 500, Loss: 0.3473, Top-1 Accuracies: ['32.00%', '30.40%', '38.80%', '25.00%']
Epoch [4/25], phase: train, samples: 4000, Loss: 0.3283, Top-1 Accuracies: ['40.85%', '40.88%', '40.77%', '38.77%']
Epoch [4/25], phase: val, samples: 500, Loss: 0.3318, Top-1 Accuracies: ['44.60%', '47.80%', '41.00%', '43.60%']
Epoch [5/25], phase: train, samples: 4000, Loss: 0.3162, Top-1 Accuracies: ['52.20%', '51.08%', '49.28%', '48.05%']
Epoch [5/25], phase: val, samples: 500, Loss: 0.3212, Top-1 Accuracies: ['56.00%', '54.00%', '48.40%', '48.20%']
Epoch [6/25], phase: train, samples: 4000, Loss: 0.3064, Top-1 Accuracies: ['58.85%', '58.03%', '58.70%', '56.62%']
Epoch [6/25], phase: val, samples: 500, Loss: 0.3117, Top-1 Accuracies: ['60.40%', '57.80%', '62.80%', '58.00%']
Epoch [7/25], phase: train, samples: 4000, Loss: 0.3003, Top-1 Accuracies: ['61.68%', '62.70%', '65.18%', '62.50%']
Epoch [7/25], phase: val, samples: 500, Loss: 0.3058, Top-1 Accuracies: ['65.00%', '67.60%', '66.00%', '58.40%']
Epoch [8/25], phase: train, samples: 4000, Loss: 0.2963, Top-1 Accuracies: ['64.05%', '68.90%', '67.35%', '64.55%']
Epoch [8/25], phase: val, samples: 500, Loss: 0.3011, Top-1 Accuracies: ['67.60%', '70.60%', '69.80%', '64.20%']
Epoch [9/25], phase: train, samples: 4000, Loss: 0.2938, Top-1 Accuracies: ['65.38%', '70.45%', '69.38%', '67.17%']
Epoch [9/25], phase: val, samples: 500, Loss: 0.3022, Top-1 Accuracies: ['68.20%', '67.80%', '68.40%', '63.80%']
Epoch [10/25], phase: train, samples: 4000, Loss: 0.2920, Top-1 Accuracies: ['66.30%', '74.00%', '70.70%', '67.35%']
Epoch [10/25], phase: val, samples: 500, Loss: 0.2997, Top-1 Accuracies: ['69.60%', '71.40%', '70.40%', '65.00%']
Epoch [11/25], phase: train, samples: 4000, Loss: 0.2914, Top-1 Accuracies: ['66.47%', '74.15%', '72.17%', '67.00%']
Epoch [11/25], phase: val, samples: 500, Loss: 0.2982, Top-1 Accuracies: ['68.00%', '75.20%', '72.80%', '64.60%']
Epoch [12/25], phase: train, samples: 4000, Loss: 0.2886, Top-1 Accuracies: ['68.55%', '75.83%', '75.62%', '68.97%']
Epoch [12/25], phase: val, samples: 500, Loss: 0.3025, Top-1 Accuracies: ['68.00%', '72.60%', '68.80%', '58.20%']
Epoch [13/25], phase: train, samples: 4000, Loss: 0.2895, Top-1 Accuracies: ['67.65%', '75.02%', '74.98%', '68.05%']
Epoch [13/25], phase: val, samples: 500, Loss: 0.2975, Top-1 Accuracies: ['69.60%', '73.40%', '75.80%', '63.60%']
Epoch [14/25], phase: train, samples: 4000, Loss: 0.2875, Top-1 Accuracies: ['69.00%', '77.88%', '76.88%', '68.88%']
Epoch [14/25], phase: val, samples: 500, Loss: 0.2950, Top-1 Accuracies: ['71.00%', '79.00%', '75.60%', '65.20%']
Epoch [15/25], phase: train, samples: 4000, Loss: 0.2867, Top-1 Accuracies: ['70.23%', '78.60%', '77.58%', '68.60%']
Epoch [15/25], phase: val, samples: 500, Loss: 0.2963, Top-1 Accuracies: ['70.20%', '76.40%', '75.20%', '64.60%']
Epoch [16/25], phase: train, samples: 4000, Loss: 0.2870, Top-1 Accuracies: ['70.05%', '78.25%', '77.08%', '68.50%']
Epoch [16/25], phase: val, samples: 500, Loss: 0.2963, Top-1 Accuracies: ['71.80%', '76.80%', '76.00%', '61.80%']
Epoch [17/25], phase: train, samples: 4000, Loss: 0.2863, Top-1 Accuracies: ['70.75%', '78.50%', '77.58%', '69.27%']
Epoch [17/25], phase: val, samples: 500, Loss: 0.2946, Top-1 Accuracies: ['71.40%', '78.40%', '77.00%', '65.60%']
Epoch [18/25], phase: train, samples: 4000, Loss: 0.2860, Top-1 Accuracies: ['70.47%', '79.55%', '78.05%', '69.10%']
Epoch [18/25], phase: val, samples: 500, Loss: 0.2954, Top-1 Accuracies: ['72.40%', '77.20%', '76.00%', '64.40%']
Epoch [19/25], phase: train, samples: 4000, Loss: 0.2860, Top-1 Accuracies: ['70.38%', '79.27%', '78.40%', '68.95%']
Epoch [19/25], phase: val, samples: 500, Loss: 0.2950, Top-1 Accuracies: ['72.00%', '76.80%', '77.20%', '64.80%']
Epoch [20/25], phase: train, samples: 4000, Loss: 0.2858, Top-1 Accuracies: ['70.28%', '79.60%', '78.60%', '69.33%']
Epoch [20/25], phase: val, samples: 500, Loss: 0.2956, Top-1 Accuracies: ['71.80%', '75.20%', '76.20%', '65.20%']
Epoch [21/25], phase: train, samples: 4000, Loss: 0.2863, Top-1 Accuracies: ['70.33%', '78.57%', '78.30%', '69.00%']
Epoch [21/25], phase: val, samples: 500, Loss: 0.2954, Top-1 Accuracies: ['71.80%', '76.60%', '77.80%', '63.40%']
Epoch [22/25], phase: train, samples: 4000, Loss: 0.2861, Top-1 Accuracies: ['70.10%', '79.42%', '78.15%', '69.15%']
Epoch [22/25], phase: val, samples: 500, Loss: 0.2945, Top-1 Accuracies: ['72.20%', '77.40%', '77.00%', '65.40%']
Epoch [23/25], phase: train, samples: 4000, Loss: 0.2858, Top-1 Accuracies: ['70.50%', '79.77%', '78.15%', '69.25%']
Epoch [23/25], phase: val, samples: 500, Loss: 0.2951, Top-1 Accuracies: ['73.60%', '77.20%', '75.20%', '64.20%']
Epoch [24/25], phase: train, samples: 4000, Loss: 0.2850, Top-1 Accuracies: ['71.43%', '80.47%', '78.85%', '69.77%']
Epoch [24/25], phase: val, samples: 500, Loss: 0.2941, Top-1 Accuracies: ['72.60%', '77.00%', '78.20%', '65.60%']
Epoch [25/25], phase: train, samples: 4000, Loss: 0.2852, Top-1 Accuracies: ['71.83%', '79.33%', '78.80%', '69.73%']
Epoch [25/25], phase: val, samples: 500, Loss: 0.2929, Top-1 Accuracies: ['73.40%', '79.80%', '78.80%', '65.40%']
Elapsed time: 57.589746952056885 seconds
